Appliances,T2,T6
60,19.2,4.263333333
60,19.2,4.263333333
40,19.1,4.4
30,19.1,4.466666667
30,19.04444444,4.623333333
30,19,4.69
40,19,4.833333333
50,19,4.966666667
50,19,5.09
50,18.910625,5.09
40,18.89,5.19
50,18.89,5.2725
40,18.89,5.366666667
40,18.80818182,5.5
40,18.79,5.56
40,18.79,5.69
50,18.79,5.69
50,18.775,5.8
50,18.7,5.866666667
30,18.7,6
20,18.7,6
30,18.69090909,5.73
20,18.67777778,5.53
40,18.64285714,5.5
50,18.6,5.56
60,18.6,5.5
50,18.6,5.433333333
40,18.58888889,5.4
40,18.5,5.4
50,18.5,5.4
40,18.5,5.4
40,18.5,5.466666667
50,18.5,5.5
50,18.5,5.56
50,18.5,5.59
40,18.48307692,5.656666667
30,18.49388889,5.69
20,18.42055556,5.69
20,18.39611111,5.69
20,18.39,5.69
50,18.39,5.726666667
50,18.37181818,5.8
50,18.30764706,5.833333333
40,18.34294118,5.833333333
40,18.34,5.8
50,18.29,5.763333333
40,18.29,5.623333333
50,18.29,5.623333333
50,18.273125,5.69
50,18.29,5.56
40,18.245,5.433333333
40,18.2,5.226666667
50,18.2,5.366666667
20,18.2,5.5
20,18.2,5.56
50,18.2,5.59
30,18.2,5.59
50,18.2,5.59
50,18.17272727,5.53
200,18.18181818,5.53
110,18.15,5.59
80,18.1,5.59
50,18.1,5.59
50,18.05,5.59
50,18.1,5.59
40,18.1,5.59
40,18,5.59
30,18,5.59
180,18,5.56
350,18,5.5
350,18,5.466666667
300,18,5.4
400,18.06666667,5.5
390,18.13333333,5.5
290,18.26,5.59
60,18.32333333,5.59
70,18.46333333,5.59
110,18.53333333,5.59
90,18.6,5.45
60,18.6,5.53
70,18.66666667,5.656666667
80,18.7,5.726666667
60,18.76,5.866666667
40,18.79,5.9
30,18.79,5.9
70,18.7,5.933333333
50,18.7,6.06
80,18.7,6.226666667
80,18.7,6.3
50,18.63333333,6.53
40,18.6,6.656666667
50,18.6,6.726666667
40,18.5,6.866666667
40,18.5,6.8
50,18.5,6.866666667
30,18.5,7.045
30,18.5,6.933333333
20,18.5,6.933333333
20,18.46333333,7
50,18.39,7.126666667
40,18.39,7.19
50,18.39,6.996666667
40,18.39,6.466666667
60,18.39,6.333333333
40,18.39,6.6
40,18.39,6.933333333
50,18.39,7.293333333
40,18.42666667,7.7
40,18.5,7.9
30,18.5,7.833333333
30,18.5,7.866666667
30,18.63333333,7.726666667
40,18.7,7.69
80,18.73,7.626666667
70,18.79,7.433333333
80,18.79,7.156666667
70,18.79,7.03
80,18.79,6.7
80,18.79,6.366666667
100,18.7,5.933333333
90,18.7,5.66
100,18.7,5.33
90,18.7,5.063333333
110,18.7,4.626666667
90,18.7,4.366666667
100,18.7,3.966666667
100,18.7,3.826666667
110,18.7,3.723333333
100,18.7,3.42
90,18.7,3.156666667
90,18.7,2.863333333
180,18.7,2.656666667
140,18.79,2.466666667
100,18.79,2.4
110,18.82333333,2.223333333
340,18.82333333,2.03
380,18.89,1.863333333
210,18.89,1.79
150,19,1.7
330,19,1.7
420,19,1.633333333
330,19,1.633333333
130,19.1,1.6
130,19.1,1.6
110,19.16666667,1.445
250,19.13333333,1.5
520,19.13333333,1.426666667
360,19.1,1.29
330,19.1,1.23
310,19.1,1.166666667
270,19.1,1.1
230,19.06666667,1.133333333
170,19,1.26
60,19,1.426666667
30,19,1.566666667
30,18.96333333,1.73
30,18.89,1.79
40,18.89,1.933333333
50,18.82333333,1.933333333
50,18.79,1.9
40,18.79,1.9
40,18.7,1.826666667
50,18.7,1.666666667
50,18.63333333,1.6
40,18.6,1.463333333
60,18.6,1.39
40,18.6,1.533333333
40,18.53333333,1.6
50,18.5,1.73
40,18.5,1.79
30,18.46333333,1.9
30,18.39,2.026666667
30,18.39,2.09
40,18.39,2.09
40,18.29,2.2
50,18.29,2.26
40,18.29,2.495
40,18.29,2.73
40,18.2,2.79
50,18.2,2.863333333
50,18.2,2.79
50,18.2,2.933333333
40,18.13333333,3
50,18.1,3.09
40,18.1,3.09
40,18.1,3.06
20,18.03333333,3.06
30,18.1,3
30,18.1,3
40,18,3.03
50,18,3.09
40,18,3.09
40,18,3.09
50,17.96333333,3.09
40,17.89,3.09
50,17.89,3.09
50,17.89,3.126666667
40,17.89,3.26
50,17.89,3.5
40,17.79,3.56
40,17.84,3.73
40,17.79,3.79
40,17.79,3.9
30,17.79,3.9
70,17.79,3.863333333
360,17.79,3.79
400,17.79,3.79
70,17.79,3.79
70,17.79,3.79
390,17.79,3.79
100,17.76,3.79
80,17.7,3.79
70,17.7,3.863333333
170,17.7,3.79
360,17.7,3.73
180,17.7,3.1
130,17.79,2.766666667
70,17.79,2.5
70,17.92666667,2.433333333
180,18.025,2.363333333
170,18.1,2.29
390,18.23,2.29
420,18.29,2.29
340,18.39,2.29
550,18.39,2.29
690,18.5,2.4
620,18.56666667,2.433333333
610,18.63333333,2.5
490,18.7,2.626666667
260,18.82333333,2.7
240,18.89,2.826666667
220,19.03333333,2.966666667
130,19.16666667,3.066666667
90,19.32333333,3.26
290,19.46333333,3.433333333
410,19.63333333,3.5
320,19.7,3.53
260,19.79,3.53
210,19.8925,3.433333333
210,20.06666667,3.433333333
140,20.13333333,3.53
60,20.26,3.6175
50,20.29,3.833333333
60,20.29,4.16
50,20.39,4.366666667
60,20.46333333,4.563333333
140,20.5,4.83
270,20.56666667,5.063333333
200,20.6,5.263333333
60,20.6,5.263333333
50,20.73,5.123333333
60,20.79,5.123333333
80,20.89,5.123333333
50,20.96333333,5.123333333
40,21,5.263333333
50,21.06666667,5.433333333
50,21.1,5.433333333
40,21.075,5.366666667
30,21,5.2725
30,21,5.263333333
200,20.92666667,5.333333333
450,20.89,5.4
400,20.82333333,5.263333333
740,20.79,5.123333333
910,20.85666667,4.966666667
610,20.92666667,4.833333333
510,21.13333333,4.8
190,21.29,4.726666667
110,21.35666667,4.56
100,21.5,4.56
90,21.56666667,4.59
110,21.63333333,4.656666667
100,21.7,4.69
110,21.7,4.623333333
100,21.7,4.466666667
790,21.7,4.2975
380,21.7,4.19
360,21.7,4.263333333
360,21.7,4.19
100,21.73,3.966666667
100,21.79,3.9
90,21.82333333,3.933333333
90,21.89,4
110,21.79,4
140,21.79,4
110,21.7,4.123333333
100,21.7,4.19
110,21.7,4.3
130,21.76,4.3
140,21.79,4.19
130,21.79,4.123333333
120,21.79,3.895
100,21.85666667,3.663333333
80,21.89,3.59
50,21.89,3.626666667
50,22.1,3.7
50,22.175,3.663333333
40,22.26,3.463333333
50,22.39,2.96
50,22.46333333,2.5
50,22.6,2.133333333
40,22.66666667,1.933333333
30,22.7,1.79
30,22.7,1.73
40,22.73,1.566666667
40,22.79,1.5
50,22.79,1.39
60,22.79,1.39
50,22.79,1.39
60,22.79,1.133333333
50,22.79,0.866666667
50,22.79,0.666666667
50,22.79,0.6
50,22.79,0.5
50,22.79,0.5
50,22.79,0.533333333
60,22.7,0.6
50,22.7,0.633333333
50,22.7,0.7
50,22.6,0.833333333
50,22.6,0.9
40,22.5,1.033333333
50,22.42666667,1.166666667
40,22.39,1.29
30,22.32333333,1.323333333
40,22.26,1.39
30,22.2,1.39
60,22.16666667,1.463333333
50,22.1,1.633333333
50,22,1.833333333
40,21.92666667,1.933333333
50,21.89,2
60,21.82333333,2
50,21.76,1.933333333
50,21.7,1.9
50,21.7,1.9
50,21.625,1.9
40,21.53333333,2.026666667
50,21.5,2.266666667
50,21.42666667,2.475
50,21.39,2.5
60,21.32333333,2.4
50,21.29,2.4
40,21.29,2.4
50,21.2,2.4
50,21.2,2.4
50,21.1,2.466666667
30,21.1,2.5
70,21,2.5
50,21,2.5
50,20.96333333,2.433333333
50,20.89,2.4
50,20.89,2.4
40,20.82333333,2.4
50,20.29666667,2.4
50,19.63,2.4
150,19.15,2.433333333
390,19.32333333,2.5
390,19.53,2.53
380,19.66,2.59
400,19.7,2.56
370,19.7,2.5
310,19.79,2.59
40,19.85666667,2.59
50,19.92666667,2.7
70,20,2.76
60,20.03333333,2.73
90,20.1,2.863333333
60,20.2,3.03
60,20.2,3.09
100,20.29,3.126666667
380,20.29,3.2
390,20.29,3.395
130,20.35666667,3.656666667
60,20.39,3.79
60,20.39,3.933333333
50,20.39,4
60,20.29,4.03
60,20.29,4.09
240,20.35111111,4.226666667
80,20.445,4.366666667
80,20.58333333,4.59
400,20.625,4.59
400,20.710625,4.59
460,20.79,4.59
170,20.85875,4.623333333
210,20.89,4.763333333
190,20.93277778,4.76
70,21.03888889,4.975
80,21.08888889,4.933333333
60,21.11111111,5.03
70,21.17222222,5.03
60,21.2,5.123333333
70,21.275,5.263333333
60,21.29,5.366666667
60,21.29,5.3
60,21.29,5.3
60,21.35722222,5.366666667
60,21.48777778,5.263333333
50,21.56111111,5.063333333
50,21.65,4.69
60,21.715,4.69
50,21.79,4.5
50,21.83,4.433333333
70,21.86777778,4.4
50,21.86777778,4.425
60,21.89,4.1
60,21.86777778,3.2
90,21.86777778,1.9
100,21.89,2.03
90,21.89,2.09
100,21.89,2.126666667
110,21.89,2.26
100,21.89,2.433333333
80,21.89,2.433333333
110,21.89,2.433333333
260,21.89,2.5
350,21.89,2.4
500,21.89,2.4
370,21.956,2.363333333
330,22,2.29
100,22,2.29
110,22,2.14
140,22,2.163333333
310,22,2.23
330,22,2.29
190,22,2.326666667
160,22,2.4
160,22,2.363333333
480,22.1,2.29
280,22.1975,2.26
130,22.29,1.866666667
150,22.39,1.356666667
140,22.39,1.23
130,22.39,1.29
130,22.39,1.356666667
340,22.5,1.7
490,22.42666667,1.966666667
230,22.39,2.145
360,22.46333333,2.4
410,22.5,2.4
150,22.42666667,2.4
80,22.39,2.4
80,22.39,2.4
70,22.39,2.326666667
70,22.39,2.29
70,22.32333333,2.29
60,22.32333333,2.29
60,22.26,2.23
50,22.2,2
50,22.15,2
50,22.1,2
30,22.03333333,2.06
20,22,2.09
40,22,2.09
50,21.89,2.09
50,21.89,2.126666667
50,21.85666667,2.126666667
60,21.79,2.09
50,21.7,2.09
60,21.7,2.2
50,21.66666667,2.2
40,21.6,2.09
50,21.5,2.09
50,21.5,1.966666667
50,21.46333333,1.826666667
50,21.39,1.666666667
40,21.35666667,1.46
30,21.29,1.133333333
30,21.29,0.933333333
40,21.2675,0.75
50,21.2,0.533333333
50,21.1,0.266666667
50,21.1,0.133333333
50,21.06666667,-0.266666667
60,21,-0.533333333
50,21,-0.666666667
50,20.92666667,-0.766666667
40,20.89,-0.5
50,20.89,-0.366666667
50,20.79,-0.5
50,20.79,-0.633333333
50,20.79,-0.7
30,20.73,-0.533333333
30,20.7,-0.333333333
30,20.7,-0.2
50,20.66666667,-0.125
50,20.6,0.033333333
40,20.6,0.233333333
60,20.575,0.366666667
60,20.5,0.5
50,20.5,0.566666667
50,20.5,0.633333333
50,20.46333333,0.766666667
220,20.39,0.833333333
390,20.35666667,0.9
380,20.29,0.833333333
390,20.315,0.966666667
390,20.39,1.133333333
240,20.42666667,1.2
40,20.56666667,1.1
70,20.63333333,1.166666667
50,20.7,1.15
50,20.79,1.033333333
70,20.85666667,1.226666667
60,20.92666667,1.39
70,21,1.463333333
60,21.03333333,1.633333333
50,21.1,1.76
60,21.15,1.666666667
60,21.2,1.533333333
80,21.26,1.426666667
100,21.29,1.5
60,21.35666667,1.8
70,21.39,2
60,21.39,2.03
60,21.5,2.223333333
50,21.5,2.26
50,21.5,2.2675
40,21.5,2.43
50,21.6,2.656666667
70,21.53333333,2.863333333
60,21.6,3.126666667
60,21.6,3.26
80,21.56666667,3.433333333
80,21.5,3.56
80,21.5,3.826666667
90,21.3,4.026666667
90,21.1,4.496666667
100,21.1,4.623333333
80,21.1,4.396666667
90,21.1,3.996666667
80,21.1,3.73
80,21.1,3.863333333
80,21.1,4.16
80,21.1,4.4
90,21.1,4.626666667
70,21,4.996666667
50,21,5.19
60,20.96333333,4.923333333
70,20.96333333,4.396666667
80,20.89,4.06
70,20.89,4
370,20.79,3.966666667
410,20.79,3.826666667
250,20.76,3.826666667
80,20.7,4.026666667
70,20.7,4.366666667
70,20.7,4.5
80,20.7,3.493333333
70,20.6,2.693333333
80,20.6,2.4
80,20.56666667,2.363333333
150,20.5,2.363333333
380,20.46333333,2.363333333
290,20.46333333,2.23
270,20.39,2.4
420,20.39,2.266666667
280,20.46333333,2.026666667
300,20.46333333,1.826666667
350,20.53333333,1.633333333
270,20.679,1.36
560,20.79,0.8
1080,21.04,0.466666667
750,21.28642857,0.166666667
390,21.55944444,0.033333333
350,21.79277778,0.166666667
340,21.95722222,0.65
290,22.01111111,0.966666667
230,22.09375,1
120,22.1,0.733333333
110,22.1,0.433333333
100,22.1,0.366666667
110,22.15,0.433333333
130,22.1,0.566666667
140,22.1,0.766666667
110,22.1,0.966666667
100,22.16666667,1
100,22.2,1.066666667
110,22.13333333,1.1
110,22.1,1.1
190,22.1,1.033333333
450,22.1,1.1
210,22.1,1.245
100,22.1,1.26
90,22.03333333,1.133333333
90,21.96333333,1.1
80,21.89,1.166666667
70,21.85666667,1.2
70,21.79,1.066666667
70,21.76,0.833333333
60,21.7,0.633333333
30,21.66666667,0.5
30,21.6,0.5
30,21.53333333,0.4
40,21.5,0.4
50,21.42666667,0.433333333
60,21.35666667,0.5
50,21.29,0.566666667
50,21.29,0.475
50,21.29,0.4
50,21.2,0.4
50,21.13333333,0.333333333
50,21.1,0.333333333
50,21.1,0.4
60,21,0.566666667
50,21,0.766666667
60,20.96333333,1.033333333
50,20.89,1.033333333
40,20.89,0.866666667
30,20.82333333,0.8
30,20.79,0.9
30,20.79,0.833333333
60,20.7,0.8
50,20.7,0.866666667
60,20.7,1
50,20.66666667,1
50,20.6,1.066666667
50,20.6,1.1
40,20.53333333,1.1
60,20.5,1.1
50,20.5,1.033333333
60,20.5,1
50,20.42666667,1
50,20.39,0.866666667
40,20.39,0.8
50,20.32333333,0.8
50,20.32333333,0.733333333
30,20.29,0.7
40,20.29,0.7
30,20.26,0.7
50,20.2,0.75
50,20.2,0.766666667
40,20.16666667,0.766666667
50,20.16666667,0.7
50,20.1,0.7
170,20.1,0.633333333
400,20.1,0.6
390,20.03333333,0.533333333
370,20,0.266666667
390,20,0.066666667
370,20,-0.3
380,20,-0.633333333
100,20,-0.966666667
90,20,-1.033333333
470,20,-0.9
320,20,-0.966666667
270,20.1,-1.05
260,20.16666667,-1.2
230,20.2,-1.133333333
470,20.26,-1.133333333
400,20.39,-1.26
290,20.5,-1.323333333
100,20.56666667,-1.323333333
90,20.82333333,-1.29
90,20.96333333,-1.23
90,21.13333333,-1.166666667
90,21.2,-1.033333333
100,21.29,-0.866666667
80,21.29,-0.666666667
180,21.39,-0.466666667
440,21.39,-0.333333333
300,21.39,-0.133333333
250,21.19666667,0.1
280,20.89,0.266666667
460,20.96333333,0.333333333
120,21.13333333,0.4
120,21.26,0.5
110,21.29,0.566666667
130,21.29,0.7
110,21.29,0.833333333
120,21.29,0.933333333
120,21.29,1
120,21.26,1.066666667
130,21.13333333,1.26
120,21.1,1.323333333
120,21.1,1.39
410,21,1.533333333
420,20.775,1.6
140,20.416,1.7
60,20.09666667,1.73
60,19.76333333,1.79
70,19.73,1.79
80,19.85666667,1.79
100,19.98428571,1.79
80,20.08125,1.79
80,20.14615385,1.79
70,20.2,1.73
80,20.29,1.666666667
80,20.31857143,1.6
90,20.39,1.463333333
80,20.39,1.323333333
80,20.434,1.2
80,20.39,1.2
80,20.365,0.733333333
80,20.35666667,0.325
90,20.29,-0.033333333
130,20.23,-0.266666667
380,20.15,-0.533333333
800,20.1,-0.833333333
790,20.1,-1.033333333
540,20.1,-1.426666667
120,20.06666667,-1.9
110,20.075,-2.23
160,20.1,-2.43
140,20.1,-2.566666667
550,20.16666667,-2.833333333
530,20.29,-3.03
100,20.31,-3.163333333
100,20.39,-3.326666667
90,20.45416667,-3.475
90,20.51875,-3.56
100,20.60625,-3.59
130,20.66666667,-3.59
110,20.70642857,-3.53
120,20.77363636,-3.645
100,20.78181818,-3.545
110,20.79,-3.577222222
100,20.89,-3.684444444
120,20.89,-3.814444444
250,20.89,-3.76
110,20.9175,-3.821666667
110,21,-4.014444444
150,21,-4.065
110,21,-4.157222222
50,21,-4.298888889
40,20.92666667,-4.416666667
50,20.89,-4.422222222
50,20.89,-4.332777778
70,20.79,-4.214444444
60,20.79,-4.299444444
60,20.7,-4.416666667
70,20.7,-4.5
50,20.56666667,-4.565
70,20.5,-4.628888889
60,20.39,-4.714444444
70,20.39,-4.606666667
60,20.29,-4.617777778
60,20.23,-4.651111111
50,20.16666667,-4.601111111
40,20.075,-4.566111111
30,20,-4.483333333
40,19.945,-4.535
50,19.89,-4.678888889
50,19.89,-4.732777778
40,19.76,-4.757222222
50,19.7,-4.810555556
40,19.66666667,-4.922222222
40,19.6,-4.877777778
40,19.6,-4.95
60,19.53333333,-5.055
50,19.5,-5.123333333
50,19.42666667,-5.091111111
40,19.39,-5.091111111
40,19.39,-5.128888889
20,19.29,-5.156666667
30,19.23,-5.19
20,19.2,-5.19
50,19.2,-5.257222222
60,19.16666667,-5.338095238
40,19.1,-5.342857143
50,19.1,-5.416666667
40,19,-5.51
40,19,-5.51
50,18.96333333,-5.5
50,18.89,-5.483333333
40,18.89,-5.4
50,18.89,-5.444444444
40,18.79,-5.472222222
50,18.79,-5.53
30,18.7,-5.53
20,18.7,-5.5
30,18.7,-5.525
30,18.63333333,-5.535
50,18.6,-5.483333333
80,18.6,-5.427777778
40,18.56666667,-5.383333333
50,18.56666667,-5.4
40,18.5,-5.4
70,18.5,-5.372222222
100,18.5,-5.333333333
60,18.39,-5.3
50,18.39,-5.333333333
40,18.35666667,-5.292777778
40,18.29,-5.167777778
40,18.35666667,-5.19
20,18.29,-5.226666667
20,18.29,-5.185555556
30,18.23,-5.075
50,18.26,-4.993333333
50,18.2,-4.9
40,18.2,-4.832777778
40,18.2,-4.726666667
40,18.2,-4.613888889
40,18.13333333,-4.45
50,18.1,-4.268333333
50,18.1,-4.039444444
50,18.1,-3.798333333
40,18.1,-3.601666667
40,18.1,-3.368888889
20,18.1,-3.14
20,18.1,-2.862777778
30,18.13333333,-2.601666667
40,18.13333333,-2.328333333
50,18.2,-2.040555556
50,18.2,-1.838888889
40,18.2,-1.643333333
40,18.26,-1.375555556
50,18.23,-1.16
40,18.29,-1.055555556
40,18.29,-0.844444444
50,18.29,-0.705555556
40,18.29,-0.633333333
50,18.29,-0.5
40,18.29,-0.361111111
20,18.29,-0.266666667
20,18.29,-0.105555556
30,18.245,0.038888889
40,18.29,0.15
50,18.23,0.3
50,18.29,0.377777778
50,18.2,0.466666667
40,18.26,0.566666667
40,18.29,0.661111111
40,18.29,0.7
40,18.29,0.783333333
40,18.29,0.788888889
50,18.26,0.805555556
50,18.2,0.866666667
30,18.2,0.888888889
20,18.2,0.9
30,18.2,0.894444444
30,18.2,0.783333333
40,18.2,0.633333333
50,18.2,0.495238095
50,18.2,0.388888889
50,18.175,0.227777778
40,18.1,0
40,18.1,-0.227777778
50,18.1,-0.472222222
40,18.06666667,-0.677777778
40,18,-1.026666667
40,18,-1.43
40,17.92666667,-1.697222222
20,17.89,-1.862777778
30,17.89,-1.998888889
30,17.89,-2.01
70,17.82333333,-2
230,17.79,-2.035
660,17.79,-2.155
510,17.79,-2.291111111
300,17.79,-2.398888889
300,17.92666667,-2.529444444
350,18.06666667,-2.669444444
90,18.13333333,-2.7
100,18.2925,-2.745
130,18.46333333,-2.857222222
200,18.7,-2.933333333
480,18.76,-2.972222222
430,18.92666667,-3.03
630,19.06666667,-3.06
600,19.2,-3.06
470,19.26,-3.127777778
740,19.39,-3.21
600,19.46333333,-3.321666667
560,19.5,-3.456666667
440,19.56666667,-3.672222222
280,19.6,-3.897222222
110,19.67272727,-4.015
80,19.7,-4.07
70,19.7,-4.193888889
50,19.7,-4.4
50,19.7,-4.546666667
60,19.7,-4.879444444
60,19.7,-5.216111111
50,19.7,-5.250555556
60,19.625,-5.063888889
50,19.53333333,-5.348888889
50,19.46333333,-5.549444444
40,19.39,-5.674444444
30,19.35666667,-5.799444444
40,19.29,-5.872222222
50,19.2,-5.888888889
50,19.13333333,-6.03
50,19.06666667,-6.065
40,19,-6.028333333
50,18.89,-5.843888889
40,18.89,-5.71
50,18.76,-5.601111111
40,18.7,-5.612222222
50,18.66666667,-5.555
50,18.6,-5.52
40,18.56666667,-5.461111111
40,18.5,-5.4
30,18.46333333,-5.383333333
20,18.39,-5.322222222
20,18.32333333,-5.338888889
40,18.35666667,-5.35
50,18.29,-5.327777778
40,18.2,-5.388888889
50,18.2,-5.338888889
50,18.1,-5.3
40,18.1,-5.257222222
40,18.06666667,-5.173333333
50,18,-5.073809524
50,18,-5.034285714
50,18,-5.03
40,17.89,-5.03
50,17.89,-5.02
20,17.85666667,-4.988888889
30,17.79,-4.95
10,17.79,-4.905555556
40,17.79,-4.861111111
60,17.7,-5.023888889
40,17.7,-5.209444444
50,17.7,-5.338888889
40,17.66666667,-5.411111111
40,17.6,-5.433333333
40,17.6,-5.433333333
70,17.6,-5.519444444
50,17.5,-5.58
50,17.5,-5.612222222
40,17.5,-5.612222222
30,17.5,-5.492777778
30,17.46333333,-5.315
20,17.39,-5.185555556
50,17.39,-5.075
50,17.39,-5.035
50,17.39,-5.091111111
50,17.39,-5.14
40,17.35666667,-5.245
40,17.29,-5.338888889
50,17.29,-5.411111111
40,17.29,-5.488888889
40,17.29,-5.444444444
40,17.26,-5.433333333
40,17.2,-5.433333333
20,17.2,-5.494444444
30,17.2,-5.576111111
30,17.2,-5.715
40,17.2,-5.798888889
40,17.2,-5.833333333
40,17.13333333,-5.822222222
50,17.13333333,-5.708333333
50,17.13333333,-5.625
50,17.2,-5.403888889
40,17.26,-5.127222222
40,17.29,-4.837222222
40,17.35666667,-4.578333333
20,17.42666667,-4.238888889
20,17.5,-3.929444444
30,17.6,-3.627222222
50,17.6,-3.292777778
40,17.6,-2.97
50,17.7,-2.726666667
40,17.76,-2.561666667
40,17.79,-2.341111111
40,17.79,-2.097777778
40,17.79,-1.902777778
50,17.79,-1.755
50,17.79,-1.65
50,17.79,-1.498333333
30,17.85666667,-1.375555556
30,17.79,-1.286111111
20,17.79,-1.122222222
20,17.79,-0.9
50,17.79,-0.772222222
50,17.79,-0.683333333
50,17.79,-0.583333333
40,17.79,-0.533333333
40,17.82333333,-0.433333333
40,17.89,-0.311111111
40,17.89,-0.3
40,18,-0.277777778
50,18,-0.376190476
60,18.03333333,-0.4
20,18.1,-0.404761905
20,18.1,-0.488888889
30,18.1,-0.522222222
40,18.1,-0.7
40,18.1,-0.738888889
50,18.1,-0.766666667
40,18.1,-0.866666667
50,18,-1.016666667
50,18,-1.431111111
40,18,-1.952777778
40,17.92666667,-2.325555556
50,17.89,-2.746111111
60,17.82333333,-3.137777778
190,17.79,-3.415555556
350,17.7,-3.622777778
210,17.7,-3.804444444
140,17.66666667,-3.862777778
110,17.66666667,-4.061666667
120,17.66666667,-4.196111111
120,17.6,-4.365555556
110,17.6,-4.560555556
260,17.66666667,-4.691111111
550,17.73,-4.793888889
480,17.79,-4.833333333
360,17.89,-4.894444444
360,17.96333333,-4.982222222
290,18.03333333,-4.971111111
460,18.1,-4.997222222
570,18.2,-5.216111111
470,18.26,-5.355555556
450,18.42666667,-5.433333333
450,18.5,-5.51
380,18.65,-5.585
110,18.73,-5.662222222
110,18.85666667,-5.738888889
110,18.89,-5.651111111
100,18.89,-5.601111111
110,18.89,-5.59
120,18.89,-5.585
70,19,-5.53
50,18.92666667,-5.477777778
40,18.89,-5.5
30,18.89,-5.540555556
30,18.92666667,-5.691111111
50,19,-5.751111111
50,18.89,-5.780555556
50,18.89,-5.933333333
40,19,-6.01
50,18.92666667,-6.01
40,18.89,-6
40,18.89,-5.977777778
50,18.79,-5.761666667
40,18.7675,-5.442222222
30,18.7,-5.127222222
30,18.66666667,-4.749444444
30,18.6,-4.575
30,18.5,-4.63
50,18.5,-4.86
40,18.39,-4.986111111
50,18.39,-5.107777778
